outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,2006-2010,7,10330,0.0678
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,2011-2015,9,19618,0.0459
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,2016-2020,24,22670,0.1059
NUMBER OF PARTICIPANTS COMPLETING TREATMENT,2021-2025,27,18711,0.1443
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,2011-2015,18,19618,0.0918
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,2016-2020,31,22670,0.1367
NUMBER OF PARTICIPANTS REPORTING ONE OR MORE TREATMENT-EMERGENT ADVERSE EVENTS,2021-2025,11,18711,0.0588
NUMBER OF PARTICIPANTS WHO DIED,2006-2010,17,10330,0.1646
NUMBER OF PARTICIPANTS WHO DIED,2011-2015,23,19618,0.1172
NUMBER OF PARTICIPANTS WHO DIED,2016-2020,9,22670,0.0397
NUMBER OF PARTICIPANTS WHO DIED,2021-2025,27,18711,0.1443
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,2006-2010,4,10330,0.0387
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,2011-2015,7,19618,0.0357
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,2016-2020,14,22670,0.0618
NUMBER OF PARTICIPANTS WHO DISCONTINUED STUDY TREATMENT DUE TO AN AE,2021-2025,34,18711,0.1817
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,2006-2010,22,10330,0.2130
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,2011-2015,30,19618,0.1529
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,2016-2020,74,22670,0.3264
NUMBER OF PARTICIPANTS WITH ABNORMAL ECG FINDINGS,2021-2025,18,18711,0.0962
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,2006-2010,8,10330,0.0774
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,2011-2015,9,19618,0.0459
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,2016-2020,13,22670,0.0573
NUMBER OF PARTICIPANTS WITH ABNORMAL VITAL SIGNS,2021-2025,31,18711,0.1657
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,2011-2015,9,19618,0.0459
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,2016-2020,24,22670,0.1059
NUMBER OF PARTICIPANTS WITH ADVERSE DRUG REACTIONS,2021-2025,15,18711,0.0802
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2006-2010,667,10330,6.4569
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2011-2015,1147,19618,5.8467
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2016-2020,1320,22670,5.8227
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,2021-2025,1099,18711,5.8736
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,2006-2010,13,10330,0.1258
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,2011-2015,14,19618,0.0714
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,2016-2020,21,22670,0.0926
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS AND SERIOUS ADVERSE EVENTS,2021-2025,19,18711,0.1015
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,2006-2010,11,10330,0.1065
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,2011-2015,9,19618,0.0459
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,2016-2020,31,22670,0.1367
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS LEADING TO DISCONTINUATION,2021-2025,47,18711,0.2512
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,2006-2010,5,10330,0.0484
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,2011-2015,9,19618,0.0459
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,2016-2020,13,22670,0.0573
NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS OF SPECIAL INTEREST,2021-2025,67,18711,0.3581
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2006-2010,18,10330,0.1742
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2011-2015,36,19618,0.1835
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2016-2020,65,22670,0.2867
NUMBER OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,2021-2025,112,18711,0.5986
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,2006-2010,12,10330,0.1162
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,2011-2015,36,19618,0.1835
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,2016-2020,16,22670,0.0706
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENT,2021-2025,2,18711,0.0107
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,2006-2010,20,10330,0.1936
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,2011-2015,41,19618,0.2090
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,2016-2020,16,22670,0.0706
NUMBER OF PARTICIPANTS WITH ANY ADVERSE EVENTS,2021-2025,19,18711,0.1015
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,2011-2015,3,19618,0.0153
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,2016-2020,7,22670,0.0309
NUMBER OF PARTICIPANTS WITH ANY TREATMENT-EMERGENT ADVERSE EVENT,2021-2025,41,18711,0.2191
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,2006-2010,2,10330,0.0194
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,2011-2015,4,19618,0.0204
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,2016-2020,18,22670,0.0794
NUMBER OF PARTICIPANTS WITH CLINICAL LABORATORY ABNORMALITIES,2021-2025,29,18711,0.1550
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,2006-2010,5,10330,0.0484
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,2011-2015,17,19618,0.0867
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,2016-2020,29,22670,0.1279
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGE IN VITAL SIGNS,2021-2025,26,18711,0.1390
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,2011-2015,16,19618,0.0816
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,2016-2020,29,22670,0.1279
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT CHANGES IN VITAL SIGNS,2021-2025,39,18711,0.2084
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,2006-2010,6,10330,0.0581
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,2011-2015,8,19618,0.0408
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,2016-2020,19,22670,0.0838
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG ABNORMALITIES,2021-2025,25,18711,0.1336
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,2011-2015,8,19618,0.0408
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,2016-2020,17,22670,0.0750
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT ECG CHANGES,2021-2025,24,18711,0.1283
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,2006-2010,5,10330,0.0484
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,2011-2015,19,19618,0.0968
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,2016-2020,36,22670,0.1588
NUMBER OF PARTICIPANTS WITH CLINICALLY SIGNIFICANT LABORATORY ABNORMALITIES,2021-2025,46,18711,0.2458
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,2006-2010,2,10330,0.0194
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,2011-2015,5,19618,0.0255
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,2016-2020,21,22670,0.0926
NUMBER OF PARTICIPANTS WITH COMPLICATIONS,2021-2025,13,18711,0.0695
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2006-2010,9,10330,0.0871
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2011-2015,43,19618,0.2192
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2016-2020,65,22670,0.2867
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITIES,2021-2025,92,18711,0.4917
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,2011-2015,15,19618,0.0765
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,2016-2020,19,22670,0.0838
NUMBER OF PARTICIPANTS WITH DOSE LIMITING TOXICITY,2021-2025,22,18711,0.1176
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2006-2010,11,10330,0.1065
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2011-2015,28,19618,0.1427
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2016-2020,67,22670,0.2955
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITIES,2021-2025,79,18711,0.4222
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,2006-2010,2,10330,0.0194
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,2011-2015,12,19618,0.0612
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,2016-2020,12,22670,0.0529
NUMBER OF PARTICIPANTS WITH DOSE-LIMITING TOXICITY,2021-2025,13,18711,0.0695
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,2006-2010,16,10330,0.1549
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,2011-2015,35,19618,0.1784
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,2016-2020,27,22670,0.1191
NUMBER OF PARTICIPANTS WITH DRUG-RELATED ADVERSE EVENTS,2021-2025,20,18711,0.1069
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,2006-2010,11,10330,0.1065
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,2011-2015,14,19618,0.0714
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,2016-2020,36,22670,0.1588
NUMBER OF PARTICIPANTS WITH ECG ABNORMALITIES,2021-2025,39,18711,0.2084
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,2006-2010,2,10330,0.0194
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,2011-2015,14,19618,0.0714
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,2016-2020,22,22670,0.0970
NUMBER OF PARTICIPANTS WITH GRADE 3 OR HIGHER ADVERSE EVENTS,2021-2025,27,18711,0.1443
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,2006-2010,7,10330,0.0678
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,2011-2015,4,19618,0.0204
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,2016-2020,15,22670,0.0662
NUMBER OF PARTICIPANTS WITH INJECTION SITE REACTIONS,2021-2025,17,18711,0.0909
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2006-2010,33,10330,0.3195
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2011-2015,72,19618,0.3670
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2016-2020,98,22670,0.4323
NUMBER OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,2021-2025,102,18711,0.5451
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,2006-2010,6,10330,0.0581
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,2011-2015,20,19618,0.1019
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,2016-2020,37,22670,0.1632
NUMBER OF PARTICIPANTS WITH LABORATORY TEST ABNORMALITIES,2021-2025,46,18711,0.2458
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,2011-2015,11,19618,0.0561
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,2016-2020,18,22670,0.0794
NUMBER OF PARTICIPANTS WITH NON-SERIOUS ADVERSE EVENTS,2021-2025,15,18711,0.0802
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,2006-2010,2,10330,0.0194
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,2011-2015,9,19618,0.0459
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,2016-2020,31,22670,0.1367
NUMBER OF PARTICIPANTS WITH POSITIVE ANTI-DRUG ANTIBODIES,2021-2025,33,18711,0.1764
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2006-2010,372,10330,3.6012
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2011-2015,380,19618,1.9370
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2016-2020,458,22670,2.0203
NUMBER OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,2021-2025,473,18711,2.5279
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2006-2010,2,10330,0.0194
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2011-2015,23,19618,0.1172
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2016-2020,76,22670,0.3352
NUMBER OF PARTICIPANTS WITH SERIOUS AND NON-SERIOUS ADVERSE EVENTS,2021-2025,36,18711,0.1924
NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,2011-2015,2,19618,0.0102
NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,2016-2020,5,22670,0.0221
NUMBER OF PARTICIPANTS WITH SERIOUS AND/OR NON-SERIOUS ADVERSE EVENTS,2021-2025,79,18711,0.4222
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,2011-2015,1,19618,0.0051
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,2016-2020,10,22670,0.0441
NUMBER OF PARTICIPANTS WITH SOLICITED LOCAL ADVERSE EVENTS,2021-2025,27,18711,0.1443
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2006-2010,22,10330,0.2130
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2011-2015,69,19618,0.3517
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2016-2020,262,22670,1.1557
NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,2021-2025,304,18711,1.6247
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,2006-2010,1,10330,0.0097
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,2011-2015,22,19618,0.1121
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,2016-2020,12,22670,0.0529
NUMBER OF PARTICIPANTS WITH TREATMENT RELATED ADVERSE EVENTS,2021-2025,17,18711,0.0909
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2006-2010,193,10330,1.8683
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2011-2015,505,19618,2.5742
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2016-2020,1067,22670,4.7067
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,2021-2025,1240,18711,6.6271
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,2006-2010,1,10330,0.0097
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,2011-2015,7,19618,0.0357
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,2016-2020,24,22670,0.1059
NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT SERIOUS ADVERSE EVENTS,2021-2025,38,18711,0.2031
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,2006-2010,3,10330,0.0290
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,2011-2015,37,19618,0.1886
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,2016-2020,111,22670,0.4896
NUMBER OF PARTICIPANTS WITH TREATMENT-RELATED ADVERSE EVENTS,2021-2025,121,18711,0.6467
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,2006-2010,26,10330,0.2517
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,2011-2015,37,19618,0.1886
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,2016-2020,43,22670,0.1897
NUMBER OF PARTICIPANTS WITH UNSOLICITED ADVERSE EVENTS,2021-2025,81,18711,0.4329
NUMBER OF PATIENTS WITH ADVERSE EVENTS,2006-2010,11,10330,0.1065
NUMBER OF PATIENTS WITH ADVERSE EVENTS,2011-2015,50,19618,0.2549
NUMBER OF PATIENTS WITH ADVERSE EVENTS,2016-2020,37,22670,0.1632
NUMBER OF PATIENTS WITH ADVERSE EVENTS,2021-2025,29,18711,0.1550
NUMBER OF RESPONDERS,2006-2010,11,10330,0.1065
NUMBER OF RESPONDERS,2011-2015,15,19618,0.0765
NUMBER OF RESPONDERS,2016-2020,12,22670,0.0529
NUMBER OF RESPONDERS,2021-2025,10,18711,0.0534
NUMBER OF SERIOUS ADVERSE EVENTS,2006-2010,13,10330,0.1258
NUMBER OF SERIOUS ADVERSE EVENTS,2011-2015,29,19618,0.1478
NUMBER OF SERIOUS ADVERSE EVENTS,2016-2020,38,22670,0.1676
NUMBER OF SERIOUS ADVERSE EVENTS,2021-2025,49,18711,0.2619
NUMBER OF SEROCONVERTED SUBJECTS,2006-2010,25,10330,0.2420
NUMBER OF SEROCONVERTED SUBJECTS,2011-2015,30,19618,0.1529
NUMBER OF SEROCONVERTED SUBJECTS,2016-2020,1,22670,0.0044
NUMBER OF SEROPROTECTED SUBJECTS,2006-2010,27,10330,0.2614
NUMBER OF SEROPROTECTED SUBJECTS,2011-2015,17,19618,0.0867
NUMBER OF SEROPROTECTED SUBJECTS,2016-2020,3,22670,0.0132
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,2006-2010,51,10330,0.4937
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,2011-2015,23,19618,0.1172
NUMBER OF SUBJECTS REPORTING UNSOLICITED ADVERSE EVENTS,2016-2020,1,22670,0.0044
NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,2006-2010,67,10330,0.6486
NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,2011-2015,39,19618,0.1988
NUMBER OF SUBJECTS WITH ANY AND GRADE 3 SOLICITED LOCAL SYMPTOMS,2016-2020,15,22670,0.0662
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,2006-2010,23,10330,0.2227
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,2011-2015,23,19618,0.1172
NUMBER OF SUBJECTS WITH ANY UNSOLICITED ADVERSE EVENTS,2016-2020,12,22670,0.0529
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",2006-2010,65,10330,0.6292
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",2011-2015,34,19618,0.1733
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED SOLICITED GENERAL SYMPTOMS",2016-2020,9,22670,0.0397
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",2006-2010,39,10330,0.3775
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",2011-2015,15,19618,0.0765
"NUMBER OF SUBJECTS WITH ANY, GRADE 3 AND RELATED UNSOLICITED ADVERSE EVENTS",2016-2020,10,22670,0.0441
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,2006-2010,22,10330,0.2130
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,2011-2015,15,19618,0.0765
NUMBER OF SUBJECTS WITH SOLICITED GENERAL SYMPTOMS,2016-2020,10,22670,0.0441
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,2006-2010,19,10330,0.1839
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,2011-2015,13,19618,0.0663
NUMBER OF SUBJECTS WITH SOLICITED LOCAL SYMPTOMS,2016-2020,10,22670,0.0441
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,2006-2010,28,10330,0.2711
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,2011-2015,17,19618,0.0867
NUMBER OF SUBJECTS WITH UNSOLICITED ADVERSE EVENTS,2016-2020,9,22670,0.0397
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,2006-2010,4,10330,0.0387
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,2011-2015,15,19618,0.0765
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,2016-2020,23,22670,0.1015
NUMBER OF TREATMENT EMERGENT ADVERSE EVENTS,2021-2025,20,18711,0.1069
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,2006-2010,2,10330,0.0194
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,2011-2015,12,19618,0.0612
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,2016-2020,40,22670,0.1764
NUMBER OF TREATMENT-EMERGENT ADVERSE EVENTS,2021-2025,56,18711,0.2993
OBJECTIVE RESPONSE RATE,2006-2010,669,10330,6.4763
OBJECTIVE RESPONSE RATE,2011-2015,1525,19618,7.7735
OBJECTIVE RESPONSE RATE,2016-2020,1873,22670,8.2620
OBJECTIVE RESPONSE RATE,2021-2025,2189,18711,11.6990
OCCURRENCE OF ADVERSE EVENTS,2006-2010,5,10330,0.0484
OCCURRENCE OF ADVERSE EVENTS,2011-2015,14,19618,0.0714
OCCURRENCE OF ADVERSE EVENTS,2016-2020,15,22670,0.0662
OCCURRENCE OF ADVERSE EVENTS,2021-2025,11,18711,0.0588
OPERATIVE TIME,2006-2010,3,10330,0.0290
OPERATIVE TIME,2011-2015,20,19618,0.1019
OPERATIVE TIME,2016-2020,20,22670,0.0882
OPERATIVE TIME,2021-2025,10,18711,0.0534
OPIOID CONSUMPTION,2006-2010,2,10330,0.0194
OPIOID CONSUMPTION,2011-2015,22,19618,0.1121
OPIOID CONSUMPTION,2016-2020,50,22670,0.2206
OPIOID CONSUMPTION,2021-2025,34,18711,0.1817
OVERALL SURVIVAL,2006-2010,493,10330,4.7725
OVERALL SURVIVAL,2011-2015,1318,19618,6.7183
OVERALL SURVIVAL,2016-2020,1747,22670,7.7062
OVERALL SURVIVAL,2021-2025,2003,18711,10.7049
OVERALL SURVIVAL RATE,2006-2010,5,10330,0.0484
OVERALL SURVIVAL RATE,2011-2015,18,19618,0.0918
OVERALL SURVIVAL RATE,2016-2020,28,22670,0.1235
OVERALL SURVIVAL RATE,2021-2025,48,18711,0.2565
PAIN INTENSITY,2006-2010,10,10330,0.0968
PAIN INTENSITY,2011-2015,8,19618,0.0408
PAIN INTENSITY,2016-2020,17,22670,0.0750
PAIN INTENSITY,2021-2025,18,18711,0.0962
PAIN INTERFERENCE SCORE,2006-2010,2,10330,0.0194
PAIN INTERFERENCE SCORE,2011-2015,7,19618,0.0357
PAIN INTERFERENCE SCORE,2016-2020,9,22670,0.0397
PAIN INTERFERENCE SCORE,2021-2025,28,18711,0.1496
PAIN RESPONSE RATE,2006-2010,75,10330,0.7260
PAIN RESPONSE RATE,2011-2015,63,19618,0.3211
PAIN RESPONSE RATE,2016-2020,84,22670,0.3705
PAIN RESPONSE RATE,2021-2025,60,18711,0.3207
PAIN SCORE,2006-2010,15,10330,0.1452
PAIN SCORE,2011-2015,40,19618,0.2039
PAIN SCORE,2016-2020,74,22670,0.3264
PAIN SCORE,2021-2025,44,18711,0.2352
PARTIAL RESPONSE RATE,2006-2010,11,10330,0.1065
PARTIAL RESPONSE RATE,2011-2015,39,19618,0.1988
PARTIAL RESPONSE RATE,2016-2020,29,22670,0.1279
PARTIAL RESPONSE RATE,2021-2025,35,18711,0.1871
PARTICIPANT SATISFACTION,2006-2010,7,10330,0.0678
PARTICIPANT SATISFACTION,2011-2015,16,19618,0.0816
PARTICIPANT SATISFACTION,2016-2020,24,22670,0.1059
PARTICIPANT SATISFACTION,2021-2025,35,18711,0.1871
PASI 100 RESPONSE,2006-2010,3,10330,0.0290
PASI 100 RESPONSE,2011-2015,8,19618,0.0408
PASI 100 RESPONSE,2016-2020,43,22670,0.1897
PASI 100 RESPONSE,2021-2025,24,18711,0.1283
PASI 50 RESPONSE,2006-2010,18,10330,0.1742
PASI 50 RESPONSE,2011-2015,25,19618,0.1274
