outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
CHANGE IN BONE MINERAL DENSITY,2011-2015,79,19618,0.4027
CHANGE IN BONE MINERAL DENSITY,2016-2020,68,22670,0.3000
CHANGE IN BONE MINERAL DENSITY,2021-2025,41,18711,0.2191
CHANGE IN BPI SCORE,2006-2010,47,10330,0.4550
CHANGE IN BPI SCORE,2011-2015,57,19618,0.2905
CHANGE IN BPI SCORE,2016-2020,65,22670,0.2867
CHANGE IN BPI SCORE,2021-2025,64,18711,0.3420
CHANGE IN C-REACTIVE PROTEIN,2006-2010,14,10330,0.1355
CHANGE IN C-REACTIVE PROTEIN,2011-2015,26,19618,0.1325
CHANGE IN C-REACTIVE PROTEIN,2016-2020,33,22670,0.1456
CHANGE IN C-REACTIVE PROTEIN,2021-2025,24,18711,0.1283
CHANGE IN CD4 COUNT,2006-2010,56,10330,0.5421
CHANGE IN CD4 COUNT,2011-2015,102,19618,0.5199
CHANGE IN CD4 COUNT,2016-2020,80,22670,0.3529
CHANGE IN CD4 COUNT,2021-2025,59,18711,0.3153
CHANGE IN CDAI SCORE,2006-2010,15,10330,0.1452
CHANGE IN CDAI SCORE,2011-2015,44,19618,0.2243
CHANGE IN CDAI SCORE,2016-2020,60,22670,0.2647
CHANGE IN CDAI SCORE,2021-2025,29,18711,0.1550
CHANGE IN CES-D SCORE,2006-2010,12,10330,0.1162
CHANGE IN CES-D SCORE,2011-2015,10,19618,0.0510
CHANGE IN CES-D SCORE,2016-2020,25,22670,0.1103
CHANGE IN CES-D SCORE,2021-2025,29,18711,0.1550
CHANGE IN CGI-S SCORE,2006-2010,17,10330,0.1646
CHANGE IN CGI-S SCORE,2011-2015,23,19618,0.1172
CHANGE IN CGI-S SCORE,2016-2020,18,22670,0.0794
CHANGE IN CGI-S SCORE,2021-2025,24,18711,0.1283
CHANGE IN CREATININE,2006-2010,40,10330,0.3872
