outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
PERCENT CHANGE IN NON-HDL CHOLESTEROL,Phase 2,10,17715,0.0564
PERCENT CHANGE IN NON-HDL CHOLESTEROL,Phase 3,44,12737,0.3455
PERCENT CHANGE IN NON-HDL CHOLESTEROL,Phase 4,1,7428,0.0135
PERCENT CHANGE IN NON-HDL-C,Phase 2,15,17715,0.0847
PERCENT CHANGE IN NON-HDL-C,Phase 3,51,12737,0.4004
PERCENT CHANGE IN NON-HDL-C,Phase 4,4,7428,0.0539
PERCENT CHANGE IN PASI SCORE,Phase 1,1,5382,0.0186
PERCENT CHANGE IN PASI SCORE,Phase 2,18,17715,0.1016
PERCENT CHANGE IN PASI SCORE,Phase 3,22,12737,0.1727
PERCENT CHANGE IN PASI SCORE,Phase 4,5,7428,0.0673
PERCENT CHANGE IN TOTAL CHOLESTEROL,Phase 1,5,5382,0.0929
PERCENT CHANGE IN TOTAL CHOLESTEROL,Phase 2,22,17715,0.1242
PERCENT CHANGE IN TOTAL CHOLESTEROL,Phase 3,94,12737,0.7380
PERCENT CHANGE IN TOTAL CHOLESTEROL,Phase 4,8,7428,0.1077
PERCENT CHANGE IN TRIGLYCERIDES,Phase 1,3,5382,0.0557
PERCENT CHANGE IN TRIGLYCERIDES,Phase 2,25,17715,0.1411
PERCENT CHANGE IN TRIGLYCERIDES,Phase 3,73,12737,0.5731
PERCENT CHANGE IN TRIGLYCERIDES,Phase 4,8,7428,0.1077
PERCENTAGE OF PARTICIPANTS ACHIEVING CLINICAL REMISSION,Phase 2,15,17715,0.0847
PERCENTAGE OF PARTICIPANTS ACHIEVING CLINICAL REMISSION,Phase 3,25,12737,0.1963
PERCENTAGE OF PARTICIPANTS ACHIEVING CLINICAL REMISSION,Phase 4,2,7428,0.0269
PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,Phase 1,5,5382,0.0929
PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,Phase 2,141,17715,0.7959
PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,Phase 3,498,12737,3.9099
PERCENTAGE OF PARTICIPANTS ACHIEVING TARGET,Phase 4,101,7428,1.3597
PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,Phase 1,2,5382,0.0372
PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,Phase 2,33,17715,0.1863
PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,Phase 3,16,12737,0.1256
PERCENTAGE OF PARTICIPANTS COMPLETING TREATMENT,Phase 4,14,7428,0.1885
PERCENTAGE OF PARTICIPANTS EXPERIENCING TREATMENT-EMERGENT ADVERSE EVENTS,Phase 1,18,5382,0.3344
PERCENTAGE OF PARTICIPANTS EXPERIENCING TREATMENT-EMERGENT ADVERSE EVENTS,Phase 2,16,17715,0.0903
PERCENTAGE OF PARTICIPANTS EXPERIENCING TREATMENT-EMERGENT ADVERSE EVENTS,Phase 3,7,12737,0.0550
PERCENTAGE OF PARTICIPANTS REPORTING LOCAL REACTIONS,Phase 2,10,17715,0.0564
PERCENTAGE OF PARTICIPANTS REPORTING LOCAL REACTIONS,Phase 3,36,12737,0.2826
PERCENTAGE OF PARTICIPANTS REPORTING LOCAL REACTIONS,Phase 4,3,7428,0.0404
PERCENTAGE OF PARTICIPANTS REPORTING SYSTEMIC EVENTS,Phase 2,7,17715,0.0395
PERCENTAGE OF PARTICIPANTS REPORTING SYSTEMIC EVENTS,Phase 3,33,12737,0.2591
PERCENTAGE OF PARTICIPANTS REPORTING SYSTEMIC EVENTS,Phase 4,4,7428,0.0539
PERCENTAGE OF PARTICIPANTS WHO DIED,Phase 1,3,5382,0.0557
PERCENTAGE OF PARTICIPANTS WHO DIED,Phase 2,31,17715,0.1750
PERCENTAGE OF PARTICIPANTS WHO DIED,Phase 3,25,12737,0.1963
PERCENTAGE OF PARTICIPANTS WHO DIED,Phase 4,4,7428,0.0539
PERCENTAGE OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 1,58,5382,1.0777
PERCENTAGE OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 2,188,17715,1.0612
PERCENTAGE OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 3,245,12737,1.9235
PERCENTAGE OF PARTICIPANTS WITH ADVERSE EVENTS,Phase 4,47,7428,0.6327
PERCENTAGE OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 1,6,5382,0.1115
PERCENTAGE OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 2,21,17715,0.1185
PERCENTAGE OF PARTICIPANTS WITH ANTI-DRUG ANTIBODIES,Phase 3,26,12737,0.2041
PERCENTAGE OF PARTICIPANTS WITH AT LEAST ONE ADVERSE EVENT,Phase 1,3,5382,0.0557
PERCENTAGE OF PARTICIPANTS WITH AT LEAST ONE ADVERSE EVENT,Phase 2,15,17715,0.0847
PERCENTAGE OF PARTICIPANTS WITH AT LEAST ONE ADVERSE EVENT,Phase 3,17,12737,0.1335
PERCENTAGE OF PARTICIPANTS WITH AT LEAST ONE ADVERSE EVENT,Phase 4,2,7428,0.0269
PERCENTAGE OF PARTICIPANTS WITH CLINICAL RESPONSE,Phase 2,20,17715,0.1129
PERCENTAGE OF PARTICIPANTS WITH CLINICAL RESPONSE,Phase 3,22,12737,0.1727
PERCENTAGE OF PARTICIPANTS WITH CLINICAL RESPONSE,Phase 4,3,7428,0.0404
PERCENTAGE OF PARTICIPANTS WITH HCV RNA < LLOQ,Phase 1,1,5382,0.0186
PERCENTAGE OF PARTICIPANTS WITH HCV RNA < LLOQ,Phase 2,29,17715,0.1637
PERCENTAGE OF PARTICIPANTS WITH HCV RNA < LLOQ,Phase 3,25,12737,0.1963
PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 1,59,5382,1.0962
PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 2,56,17715,0.3161
PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 3,83,12737,0.6516
PERCENTAGE OF PARTICIPANTS WITH LABORATORY ABNORMALITIES,Phase 4,8,7428,0.1077
PERCENTAGE OF PARTICIPANTS WITH RELAPSE,Phase 2,6,17715,0.0339
PERCENTAGE OF PARTICIPANTS WITH RELAPSE,Phase 3,11,12737,0.0864
PERCENTAGE OF PARTICIPANTS WITH RELAPSE,Phase 4,6,7428,0.0808
PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 1,12,5382,0.2230
PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 2,46,17715,0.2597
PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 3,75,12737,0.5888
PERCENTAGE OF PARTICIPANTS WITH SERIOUS ADVERSE EVENTS,Phase 4,7,7428,0.0942
PERCENTAGE OF PARTICIPANTS WITH SYSTEMIC EVENTS,Phase 1,3,5382,0.0557
PERCENTAGE OF PARTICIPANTS WITH SYSTEMIC EVENTS,Phase 2,11,17715,0.0621
PERCENTAGE OF PARTICIPANTS WITH SYSTEMIC EVENTS,Phase 3,27,12737,0.2120
PERCENTAGE OF PARTICIPANTS WITH SYSTEMIC EVENTS,Phase 4,3,7428,0.0404
PERCENTAGE OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 1,10,5382,0.1858
PERCENTAGE OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 2,19,17715,0.1073
PERCENTAGE OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 3,23,12737,0.1806
PERCENTAGE OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,Phase 4,4,7428,0.0539
PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 1,43,5382,0.7990
PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 2,72,17715,0.4064
PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 3,96,12737,0.7537
PERCENTAGE OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,Phase 4,11,7428,0.1481
PERCENTAGE OF PARTICIPANTS WITH VIROLOGIC FAILURE,Phase 2,38,17715,0.2145
PERCENTAGE OF PARTICIPANTS WITH VIROLOGIC FAILURE,Phase 3,57,12737,0.4475
PERCENTAGE OF PARTICIPANTS WITH VIROLOGIC FAILURE,Phase 4,2,7428,0.0269
PERCENTAGE OF PATIENTS ACHIEVING TARGET,Phase 2,2,17715,0.0113
PERCENTAGE OF PATIENTS ACHIEVING TARGET,Phase 3,34,12737,0.2669
PERCENTAGE OF PATIENTS ACHIEVING TARGET,Phase 4,9,7428,0.1212
PHYSICAL FUNCTION,Phase 1,1,5382,0.0186
PHYSICAL FUNCTION,Phase 2,7,17715,0.0395
PHYSICAL FUNCTION,Phase 3,3,12737,0.0236
PHYSICAL FUNCTION,Phase 4,4,7428,0.0539
PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 1,1,5382,0.0186
PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 2,9,17715,0.0508
PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 3,4,12737,0.0314
PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 4,2,7428,0.0269
PLASMA DECAY HALF-LIFE,Phase 1,56,5382,1.0405
PLASMA DECAY HALF-LIFE,Phase 2,15,17715,0.0847
PLASMA DECAY HALF-LIFE,Phase 3,1,12737,0.0079
PLASMA DECAY HALF-LIFE,Phase 4,1,7428,0.0135
PLASMA DRUG CONCENTRATION,Phase 1,247,5382,4.5894
PLASMA DRUG CONCENTRATION,Phase 2,432,17715,2.4386
PLASMA DRUG CONCENTRATION,Phase 3,211,12737,1.6566
PLASMA DRUG CONCENTRATION,Phase 4,50,7428,0.6731
PLASMA TROUGH CONCENTRATION,Phase 1,9,5382,0.1672
PLASMA TROUGH CONCENTRATION,Phase 2,20,17715,0.1129
PLASMA TROUGH CONCENTRATION,Phase 3,10,12737,0.0785
PROCEDURAL SUCCESS,Phase 2,3,17715,0.0169
PROCEDURAL SUCCESS,Phase 3,6,12737,0.0471
PROCEDURAL SUCCESS,Phase 4,4,7428,0.0539
PROCEDURE TIME,Phase 2,1,17715,0.0056
PROCEDURE TIME,Phase 3,4,12737,0.0314
PROCEDURE TIME,Phase 4,7,7428,0.0942
PROGRESSION-FREE SURVIVAL,Phase 1,397,5382,7.3764
PROGRESSION-FREE SURVIVAL,Phase 2,3203,17715,18.0807
PROGRESSION-FREE SURVIVAL,Phase 3,969,12737,7.6078
PROGRESSION-FREE SURVIVAL,Phase 4,59,7428,0.7943
PROGRESSION-FREE SURVIVAL RATE,Phase 1,4,5382,0.0743
PROGRESSION-FREE SURVIVAL RATE,Phase 2,42,17715,0.2371
PROGRESSION-FREE SURVIVAL RATE,Phase 3,9,12737,0.0707
PROSTATE-SPECIFIC ANTIGEN RESPONSE,Phase 1,4,5382,0.0743
PROSTATE-SPECIFIC ANTIGEN RESPONSE,Phase 2,47,17715,0.2653
PROSTATE-SPECIFIC ANTIGEN RESPONSE,Phase 3,4,12737,0.0314
PROSTATE-SPECIFIC ANTIGEN RESPONSE,Phase 4,2,7428,0.0269
PRURITUS SCORE,Phase 1,3,5382,0.0557
PRURITUS SCORE,Phase 2,20,17715,0.1129
PRURITUS SCORE,Phase 3,17,12737,0.1335
PRURITUS SCORE,Phase 4,26,7428,0.3500
PSA RESPONSE RATE,Phase 1,2,5382,0.0372
PSA RESPONSE RATE,Phase 2,41,17715,0.2314
PSA RESPONSE RATE,Phase 3,9,12737,0.0707
PSA RESPONSE RATE,Phase 4,1,7428,0.0135
QUALITY OF LIFE SCORE,Phase 1,5,5382,0.0929
QUALITY OF LIFE SCORE,Phase 2,55,17715,0.3105
QUALITY OF LIFE SCORE,Phase 3,49,12737,0.3847
QUALITY OF LIFE SCORE,Phase 4,33,7428,0.4443
RATE OF ADVERSE EVENTS,Phase 1,2,5382,0.0372
RATE OF ADVERSE EVENTS,Phase 2,13,17715,0.0734
RATE OF ADVERSE EVENTS,Phase 3,12,12737,0.0942
RATE OF ADVERSE EVENTS,Phase 4,3,7428,0.0404
READMISSION RATE,Phase 2,10,17715,0.0564
READMISSION RATE,Phase 3,8,12737,0.0628
READMISSION RATE,Phase 4,9,7428,0.1212
RECOMMENDED PHASE 2 DOSE,Phase 1,63,5382,1.1706
RECOMMENDED PHASE 2 DOSE,Phase 2,13,17715,0.0734
RECRUITMENT RATE,Phase 2,1,17715,0.0056
RECRUITMENT RATE,Phase 3,2,12737,0.0157
RECRUITMENT RATE,Phase 4,1,7428,0.0135
RECURRENCE-FREE SURVIVAL,Phase 1,2,5382,0.0372
RECURRENCE-FREE SURVIVAL,Phase 2,43,17715,0.2427
RECURRENCE-FREE SURVIVAL,Phase 3,33,12737,0.2591
RELAPSE-FREE SURVIVAL,Phase 1,4,5382,0.0743
RELAPSE-FREE SURVIVAL,Phase 2,58,17715,0.3274
RELAPSE-FREE SURVIVAL,Phase 3,17,12737,0.1335
RENAL CLEARANCE,Phase 1,151,5382,2.8056
RENAL CLEARANCE,Phase 2,22,17715,0.1242
RENAL CLEARANCE,Phase 3,2,12737,0.0157
RENAL CLEARANCE,Phase 4,8,7428,0.1077
RESPIRATORY RATE,Phase 1,11,5382,0.2044
RESPIRATORY RATE,Phase 2,17,17715,0.0960
RESPIRATORY RATE,Phase 3,8,12737,0.0628
RESPIRATORY RATE,Phase 4,8,7428,0.1077
RESPONDER RATE,Phase 2,36,17715,0.2032
RESPONDER RATE,Phase 3,84,12737,0.6595
RESPONDER RATE,Phase 4,28,7428,0.3770
RETENTION RATE,Phase 1,6,5382,0.1115
RETENTION RATE,Phase 2,12,17715,0.0677
RETENTION RATE,Phase 3,3,12737,0.0236
RETENTION RATE,Phase 4,8,7428,0.1077
SEROCONVERSION FACTOR,Phase 1,1,5382,0.0186
SEROCONVERSION FACTOR,Phase 2,21,17715,0.1185
SEROCONVERSION FACTOR,Phase 3,19,12737,0.1492
SEROCONVERSION FACTOR,Phase 4,2,7428,0.0269
SEROCONVERSION RATE,Phase 1,56,5382,1.0405
SEROCONVERSION RATE,Phase 2,158,17715,0.8919
SEROCONVERSION RATE,Phase 3,252,12737,1.9785
SEROCONVERSION RATE,Phase 4,75,7428,1.0097
SEROPOSITIVITY RATE,Phase 1,2,5382,0.0372
SEROPOSITIVITY RATE,Phase 2,20,17715,0.1129
SEROPOSITIVITY RATE,Phase 3,21,12737,0.1649
SEROPOSITIVITY RATE,Phase 4,5,7428,0.0673
SEROPROTECTION RATE,Phase 1,16,5382,0.2973
SEROPROTECTION RATE,Phase 2,125,17715,0.7056
SEROPROTECTION RATE,Phase 3,235,12737,1.8450
SEROPROTECTION RATE,Phase 4,86,7428,1.1578
SERORESPONSE RATE,Phase 1,7,5382,0.1301
SERORESPONSE RATE,Phase 2,17,17715,0.0960
SERORESPONSE RATE,Phase 3,41,12737,0.3219
SERORESPONSE RATE,Phase 4,5,7428,0.0673
SLEEP DISTURBANCE SCORE,Phase 2,7,17715,0.0395
SLEEP DISTURBANCE SCORE,Phase 3,11,12737,0.0864
SLEEP DISTURBANCE SCORE,Phase 4,3,7428,0.0404
SLEEP EFFICIENCY,Phase 2,9,17715,0.0508
SLEEP EFFICIENCY,Phase 3,10,12737,0.0785
SLEEP EFFICIENCY,Phase 4,8,7428,0.1077
SLEEP QUALITY SCORE,Phase 2,8,17715,0.0452
SLEEP QUALITY SCORE,Phase 3,6,12737,0.0471
SLEEP QUALITY SCORE,Phase 4,8,7428,0.1077
STABLE DISEASE RATE,Phase 1,11,5382,0.2044
STABLE DISEASE RATE,Phase 2,49,17715,0.2766
STABLE DISEASE RATE,Phase 3,4,12737,0.0314
STABLE DISEASE RATE,Phase 4,4,7428,0.0539
STEADY-STATE CONCENTRATION,Phase 1,20,5382,0.3716
STEADY-STATE CONCENTRATION,Phase 2,28,17715,0.1581
STEADY-STATE CONCENTRATION,Phase 3,6,12737,0.0471
STEADY-STATE CONCENTRATION,Phase 4,3,7428,0.0404
SUICIDAL IDEATION ASSESSMENT,Phase 1,7,5382,0.1301
SUICIDAL IDEATION ASSESSMENT,Phase 2,43,17715,0.2427
SUICIDAL IDEATION ASSESSMENT,Phase 3,34,12737,0.2669
SUICIDAL IDEATION ASSESSMENT,Phase 4,14,7428,0.1885
SUSTAINED VIROLOGIC RESPONSE,Phase 1,6,5382,0.1115
SUSTAINED VIROLOGIC RESPONSE,Phase 2,154,17715,0.8693
SUSTAINED VIROLOGIC RESPONSE,Phase 3,190,12737,1.4917
SUSTAINED VIROLOGIC RESPONSE,Phase 4,76,7428,1.0232
SYSTEMIC CLEARANCE,Phase 1,36,5382,0.6689
SYSTEMIC CLEARANCE,Phase 2,14,17715,0.0790
SYSTEMIC CLEARANCE,Phase 3,5,12737,0.0393
SYSTEMIC CLEARANCE,Phase 4,1,7428,0.0135
SYSTOLIC BLOOD PRESSURE,Phase 1,12,5382,0.2230
SYSTOLIC BLOOD PRESSURE,Phase 2,46,17715,0.2597
SYSTOLIC BLOOD PRESSURE,Phase 3,19,12737,0.1492
SYSTOLIC BLOOD PRESSURE,Phase 4,22,7428,0.2962
TARGET LESION RESPONSE,Phase 1,15,5382,0.2787
TARGET LESION RESPONSE,Phase 2,36,17715,0.2032
TARGET LESION RESPONSE,Phase 3,5,12737,0.0393
TECHNICAL SUCCESS,Phase 2,2,17715,0.0113
TECHNICAL SUCCESS,Phase 3,4,12737,0.0314
TECHNICAL SUCCESS,Phase 4,1,7428,0.0135
TERMINAL ELIMINATION HALF-LIFE,Phase 1,160,5382,2.9729
TERMINAL ELIMINATION HALF-LIFE,Phase 2,46,17715,0.2597
TERMINAL ELIMINATION HALF-LIFE,Phase 3,14,12737,0.1099
TERMINAL ELIMINATION HALF-LIFE,Phase 4,9,7428,0.1212
TERMINAL HALF-LIFE,Phase 1,190,5382,3.5303
TERMINAL HALF-LIFE,Phase 2,58,17715,0.3274
TERMINAL HALF-LIFE,Phase 3,16,12737,0.1256
TERMINAL HALF-LIFE,Phase 4,10,7428,0.1346
TERMINAL PHASE ELIMINATION HALF-LIFE,Phase 1,28,5382,0.5203
TERMINAL PHASE ELIMINATION HALF-LIFE,Phase 2,7,17715,0.0395
TERMINAL PHASE ELIMINATION HALF-LIFE,Phase 3,3,12737,0.0236
TIME OF MAXIMUM CONCENTRATION,Phase 1,28,5382,0.5203
TIME OF MAXIMUM CONCENTRATION,Phase 2,9,17715,0.0508
TIME OF MAXIMUM CONCENTRATION,Phase 3,2,12737,0.0157
TIME OF MAXIMUM CONCENTRATION,Phase 4,2,7428,0.0269
TIME TO DEATH,Phase 1,1,5382,0.0186
TIME TO DEATH,Phase 2,13,17715,0.0734
TIME TO DEATH,Phase 3,19,12737,0.1492
TIME TO DEATH,Phase 4,3,7428,0.0404
TIME TO FIRST EXACERBATION,Phase 2,16,17715,0.0903
TIME TO FIRST EXACERBATION,Phase 3,25,12737,0.1963
TIME TO FIRST EXACERBATION,Phase 4,7,7428,0.0942
TIME TO HOSPITAL DISCHARGE,Phase 2,34,17715,0.1919
TIME TO HOSPITAL DISCHARGE,Phase 3,28,12737,0.2198
TIME TO HOSPITAL DISCHARGE,Phase 4,15,7428,0.2019
TIME TO MAXIMUM CONCENTRATION,Phase 1,1470,5382,27.3133
TIME TO MAXIMUM CONCENTRATION,Phase 2,619,17715,3.4942
TIME TO MAXIMUM CONCENTRATION,Phase 3,146,12737,1.1463
TIME TO MAXIMUM CONCENTRATION,Phase 4,70,7428,0.9424
TIME TO MAXIMUM PLASMA CONCENTRATION,Phase 1,74,5382,1.3750
TIME TO MAXIMUM PLASMA CONCENTRATION,Phase 2,43,17715,0.2427
TIME TO MAXIMUM PLASMA CONCENTRATION,Phase 3,11,12737,0.0864
TIME TO MAXIMUM PLASMA CONCENTRATION,Phase 4,2,7428,0.0269
TIME TO NEXT TREATMENT,Phase 1,1,5382,0.0186
TIME TO NEXT TREATMENT,Phase 2,42,17715,0.2371
TIME TO NEXT TREATMENT,Phase 3,40,12737,0.3140
TIME TO NEXT TREATMENT,Phase 4,4,7428,0.0539
TIME TO PROGRESSION,Phase 1,50,5382,0.9290
TIME TO PROGRESSION,Phase 2,532,17715,3.0031
TIME TO PROGRESSION,Phase 3,144,12737,1.1306
TIME TO PROGRESSION,Phase 4,9,7428,0.1212
TIME TO PSA PROGRESSION,Phase 1,2,5382,0.0372
TIME TO PSA PROGRESSION,Phase 2,47,17715,0.2653
TIME TO PSA PROGRESSION,Phase 3,32,12737,0.2512
TIME TO PSA PROGRESSION,Phase 4,6,7428,0.0808
TIME TO RELAPSE,Phase 1,1,5382,0.0186
TIME TO RELAPSE,Phase 2,23,17715,0.1298
TIME TO RELAPSE,Phase 3,41,12737,0.3219
TIME TO RELAPSE,Phase 4,8,7428,0.1077
TIME TO RESPONSE,Phase 1,32,5382,0.5946
TIME TO RESPONSE,Phase 2,239,17715,1.3491
TIME TO RESPONSE,Phase 3,109,12737,0.8558
TIME TO RESPONSE,Phase 4,5,7428,0.0673
TIME TO TREATMENT FAILURE,Phase 1,5,5382,0.0929
TIME TO TREATMENT FAILURE,Phase 2,155,17715,0.8750
TIME TO TREATMENT FAILURE,Phase 3,81,12737,0.6359
TIME TO TREATMENT FAILURE,Phase 4,13,7428,0.1750
TIME TO TUMOR PROGRESSION,Phase 1,7,5382,0.1301
TIME TO TUMOR PROGRESSION,Phase 2,45,17715,0.2540
TIME TO TUMOR PROGRESSION,Phase 3,19,12737,0.1492
TIME TO TUMOR PROGRESSION,Phase 4,5,7428,0.0673
TIMED UP AND GO TEST,Phase 1,1,5382,0.0186
TIMED UP AND GO TEST,Phase 2,2,17715,0.0113
TIMED UP AND GO TEST,Phase 3,1,12737,0.0079
TIMED UP AND GO TEST,Phase 4,7,7428,0.0942
TOTAL ADVERSE EVENTS SUMMARY,Phase 1,18,5382,0.3344
TOTAL ADVERSE EVENTS SUMMARY,Phase 2,55,17715,0.3105
TOTAL ADVERSE EVENTS SUMMARY,Phase 3,29,12737,0.2277
TOTAL ADVERSE EVENTS SUMMARY,Phase 4,6,7428,0.0808
TOTAL BODY CLEARANCE,Phase 1,67,5382,1.2449
TOTAL BODY CLEARANCE,Phase 2,14,17715,0.0790
TOTAL BODY CLEARANCE,Phase 3,5,12737,0.0393
TOTAL BODY CLEARANCE,Phase 4,1,7428,0.0135
TOTAL OPIOID CONSUMPTION,Phase 2,9,17715,0.0508
TOTAL OPIOID CONSUMPTION,Phase 3,8,12737,0.0628
TOTAL OPIOID CONSUMPTION,Phase 4,21,7428,0.2827
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,Phase 1,9,5382,0.1672
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,Phase 2,23,17715,0.1298
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,Phase 3,11,12737,0.0864
TOTAL SERIOUS ADVERSE EVENTS SUMMARY,Phase 4,7,7428,0.0942
TOTAL SLEEP TIME,Phase 1,1,5382,0.0186
TOTAL SLEEP TIME,Phase 2,14,17715,0.0790
TOTAL SLEEP TIME,Phase 3,11,12737,0.0864
TOTAL SLEEP TIME,Phase 4,8,7428,0.1077
TRANSPLANT-RELATED MORTALITY,Phase 1,2,5382,0.0372
TRANSPLANT-RELATED MORTALITY,Phase 2,29,17715,0.1637
TRANSPLANT-RELATED MORTALITY,Phase 3,4,12737,0.0314
TREATMENT ADHERENCE RATE,Phase 1,8,5382,0.1486
TREATMENT ADHERENCE RATE,Phase 2,48,17715,0.2710
TREATMENT ADHERENCE RATE,Phase 3,34,12737,0.2669
TREATMENT ADHERENCE RATE,Phase 4,47,7428,0.6327
TREATMENT DISCONTINUATION RATE,Phase 1,1,5382,0.0186
TREATMENT DISCONTINUATION RATE,Phase 2,19,17715,0.1073
TREATMENT DISCONTINUATION RATE,Phase 3,10,12737,0.0785
TREATMENT DISCONTINUATION RATE,Phase 4,7,7428,0.0942
TREATMENT SATISFACTION,Phase 2,12,17715,0.0677
TREATMENT SATISFACTION,Phase 3,24,12737,0.1884
TREATMENT SATISFACTION,Phase 4,17,7428,0.2289
TREATMENT SUCCESS,Phase 2,10,17715,0.0564
TREATMENT SUCCESS,Phase 3,10,12737,0.0785
TREATMENT SUCCESS,Phase 4,2,7428,0.0269
TREATMENT-RELATED MORTALITY,Phase 1,3,5382,0.0557
TREATMENT-RELATED MORTALITY,Phase 2,46,17715,0.2597
TREATMENT-RELATED MORTALITY,Phase 3,18,12737,0.1413
TREATMENT-RELATED MORTALITY,Phase 4,1,7428,0.0135
TROUGH CONCENTRATION,Phase 1,74,5382,1.3750
TROUGH CONCENTRATION,Phase 2,102,17715,0.5758
TROUGH CONCENTRATION,Phase 3,61,12737,0.4789
TROUGH CONCENTRATION,Phase 4,8,7428,0.1077
TROUGH FEV1,Phase 2,19,17715,0.1073
TROUGH FEV1,Phase 3,36,12737,0.2826
TROUGH FEV1,Phase 4,7,7428,0.0942
TROUGH PLASMA CONCENTRATION,Phase 1,39,5382,0.7246
TROUGH PLASMA CONCENTRATION,Phase 2,54,17715,0.3048
TROUGH PLASMA CONCENTRATION,Phase 3,21,12737,0.1649
TROUGH PLASMA CONCENTRATION,Phase 4,5,7428,0.0673
TUMOR RESPONSE,Phase 1,9,5382,0.1672
TUMOR RESPONSE,Phase 2,43,17715,0.2427
TUMOR RESPONSE,Phase 3,5,12737,0.0393
TUMOR RESPONSE RATE,Phase 1,10,5382,0.1858
TUMOR RESPONSE RATE,Phase 2,55,17715,0.3105
TUMOR RESPONSE RATE,Phase 3,4,12737,0.0314
TUMOR RESPONSE RATE,Phase 4,2,7428,0.0269
VACCINE RESPONSE RATE,Phase 1,2,5382,0.0372
VACCINE RESPONSE RATE,Phase 2,15,17715,0.0847
VACCINE RESPONSE RATE,Phase 3,33,12737,0.2591
VACCINE RESPONSE RATE,Phase 4,4,7428,0.0539
VAS PAIN SCORE,Phase 1,5,5382,0.0929
VAS PAIN SCORE,Phase 2,5,17715,0.0282
VAS PAIN SCORE,Phase 3,12,12737,0.0942
VAS PAIN SCORE,Phase 4,36,7428,0.4847
VENTILATOR-FREE DAYS,Phase 2,12,17715,0.0677
VENTILATOR-FREE DAYS,Phase 3,16,12737,0.1256
VENTILATOR-FREE DAYS,Phase 4,1,7428,0.0135
VIRAL SUPPRESSION RATE,Phase 1,3,5382,0.0557
VIRAL SUPPRESSION RATE,Phase 2,26,17715,0.1468
VIRAL SUPPRESSION RATE,Phase 3,22,12737,0.1727
VIRAL SUPPRESSION RATE,Phase 4,21,7428,0.2827
VISUAL ACUITY,Phase 1,5,5382,0.0929
VISUAL ACUITY,Phase 2,4,17715,0.0226
VISUAL ACUITY,Phase 3,7,12737,0.0550
VISUAL ACUITY,Phase 4,4,7428,0.0539
VITAL SIGNS SUMMARY,Phase 1,21,5382,0.3902
VITAL SIGNS SUMMARY,Phase 2,13,17715,0.0734
VITAL SIGNS SUMMARY,Phase 3,9,12737,0.0707
VITAL SIGNS SUMMARY,Phase 4,5,7428,0.0673
VOLUME OF DISTRIBUTION,Phase 1,308,5382,5.7228
VOLUME OF DISTRIBUTION,Phase 2,118,17715,0.6661
VOLUME OF DISTRIBUTION,Phase 3,50,12737,0.3926
VOLUME OF DISTRIBUTION,Phase 4,24,7428,0.3231
VOLUME OF DISTRIBUTION AT STEADY STATE,Phase 1,48,5382,0.8919
VOLUME OF DISTRIBUTION AT STEADY STATE,Phase 2,27,17715,0.1524
VOLUME OF DISTRIBUTION AT STEADY STATE,Phase 3,15,12737,0.1178
