outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Esophageal Cancer,1,157,0.6369
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Gastric Cancer,1,190,0.5263
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Sarcoma,1,246,0.4065
6-MONTH PROGRESSION-FREE SURVIVAL,Neoplastic disease,Small Cell Lung Cancer,1,505,0.1980
90-DAY MORTALITY,Neurological disorder,Stroke,13,607,2.1417
90-DAY MORTALITY,Infection,COVID-19,5,793,0.6305
90-DAY MORTALITY,Cardiovascular disease,Shock,4,73,5.4795
90-DAY MORTALITY,Cardiovascular disease,Myocardial Infarction,3,207,1.4493
90-DAY MORTALITY,Neoplastic disease,Pancreatic Cancer,3,515,0.5825
90-DAY MORTALITY,Infection,Sepsis,3,164,1.8293
90-DAY MORTALITY,Neoplastic disease,Acute Myeloid Leukemia,2,369,0.5420
90-DAY MORTALITY,Respiratory disease,Acute Respiratory Distress Syndrome,2,189,1.0582
90-DAY MORTALITY,Musculoskeletal disorder,Bone Fracture,2,217,0.9217
90-DAY MORTALITY,Disorder of digestive system,Cirrhosis,2,167,1.1976
90-DAY MORTALITY,Procedure,Mechanical Ventilation,2,191,1.0471
90-DAY MORTALITY,Disorder of digestive system,Acute Pancreatitis,1,158,0.6329
90-DAY MORTALITY,Disorder of endocrine system,Addison's Disease,1,21,4.7619
90-DAY MORTALITY,Blood disease,Anemia,1,312,0.3205
90-DAY MORTALITY,Cardiovascular disease,Atrial Fibrillation,1,482,0.2075
90-DAY MORTALITY,Procedure,Blood Transfusion,1,204,0.4902
90-DAY MORTALITY,Neoplastic disease,Brain Tumors,1,505,0.1980
90-DAY MORTALITY,Disorder of the genitourinary system,Chronic Kidney Disease,1,337,0.2967
90-DAY MORTALITY,Infection,Clostridium Difficile Infection,1,124,0.8065
90-DAY MORTALITY,Neoplastic disease,Colorectal Cancer,1,556,0.1799
90-DAY MORTALITY,Cardiovascular disease,Coronary Artery Disease,1,662,0.1511
90-DAY MORTALITY,Mental illness,Delirium,1,132,0.7576
90-DAY MORTALITY,Disorder of haemostatic system,Disseminated Intravascular Coagulation,1,102,0.9804
90-DAY MORTALITY,Mental illness,Eating Disorders,1,161,0.6211
90-DAY MORTALITY,Infection,Fungal Infection,1,203,0.4926
90-DAY MORTALITY,Cardiovascular disease,Heart Failure,1,687,0.1456
90-DAY MORTALITY,Disorder of body system,Multiple Organ Failure,1,50,2.0000
90-DAY MORTALITY,Neoplastic disease,Non-Small Cell Lung Cancer,1,944,0.1059
90-DAY MORTALITY,Infection,Osteomyelitis,1,162,0.6173
90-DAY MORTALITY,Musculoskeletal disorder,Osteoporosis,1,441,0.2268
90-DAY MORTALITY,Infection,Pneumonia,1,244,0.4098
90-DAY MORTALITY,Situation with explicit context,Post-Operative Care,1,282,0.3546
90-DAY MORTALITY,Disorder of the genitourinary system,Pregnancy Study,1,181,0.5525
90-DAY MORTALITY,Infection,Skin and Soft Tissue Infection,1,340,0.2941
90-DAY MORTALITY,Neurological disorder,Traumatic Brain Injury,1,208,0.4808
ABSOLUTE CHANGE IN CFQ-R RESPIRATORY DOMAIN SCORE,Respiratory disease,Cystic Fibrosis,44,320,13.7500
ACCEPTABILITY OF INTERVENTION,Infection,HIV/AIDS,9,1396,0.6447
ACCEPTABILITY OF INTERVENTION,Mental illness,Alcohol Use Disorder,2,574,0.3484
ACCEPTABILITY OF INTERVENTION,Disorder of endocrine system,Gestational Diabetes,2,982,0.2037
ACCEPTABILITY OF INTERVENTION,Sleep disorder,Insomnia,2,252,0.7937
ACCEPTABILITY OF INTERVENTION,Mental illness,Major Depressive Disorder,2,1109,0.1803
ACCEPTABILITY OF INTERVENTION,Neurological disorder,Parkinson's Disease,2,545,0.3670
ACCEPTABILITY OF INTERVENTION,Mental illness,Postpartum Depression,2,190,1.0526
ACCEPTABILITY OF INTERVENTION,Blood disease,Sickle Cell Disease,2,177,1.1299
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Small Cell Lung Cancer,2,505,0.3960
ACCEPTABILITY OF INTERVENTION,Mental illness,Substance Use Disorder,2,370,0.5405
ACCEPTABILITY OF INTERVENTION,Respiratory disease,Allergic Asthma,1,265,0.3774
ACCEPTABILITY OF INTERVENTION,Mental illness,Autism Spectrum Disorder,1,235,0.4255
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Cancer Immunotherapy,1,295,0.3390
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Chronic Myeloid Leukemia,1,399,0.2506
ACCEPTABILITY OF INTERVENTION,Disorder of digestive system,Chronic Pancreatitis,1,282,0.3546
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Colorectal Cancer,1,556,0.1799
ACCEPTABILITY OF INTERVENTION,Situation with explicit context,Critical Illness,1,74,1.3514
ACCEPTABILITY OF INTERVENTION,Neurological disorder,Dementia,1,153,0.6536
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Endometrial Cancer,1,241,0.4149
ACCEPTABILITY OF INTERVENTION,Clinical finding,Fatigue,1,83,1.2048
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
ACCEPTABILITY OF INTERVENTION,Infection,Hepatitis C,1,658,0.1520
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Locally Advanced Cancer,1,572,0.1748
ACCEPTABILITY OF INTERVENTION,Neoplastic disease,Melanoma,1,560,0.1786
ACCEPTABILITY OF INTERVENTION,Disorder of endocrine system,Metabolic Syndrome,1,285,0.3509
ACCEPTABILITY OF INTERVENTION,Disorder of body system,Multiple Organ Failure,1,50,2.0000
ACCEPTABILITY OF INTERVENTION,Disorder of endocrine system,Obesity,1,811,0.1233
ACCEPTABILITY OF INTERVENTION,Mental illness,Opioid Use Disorder,1,334,0.2994
ACCEPTABILITY OF INTERVENTION,Cardiovascular disease,Peripheral Artery Disease,1,332,0.3012
ACCEPTABILITY OF INTERVENTION,Infection,Pneumonia,1,244,0.4098
ACCEPTABILITY OF INTERVENTION,Mental illness,Post-Traumatic Stress Disorder,1,473,0.2114
ACCEPTABILITY OF INTERVENTION,Disorder of the genitourinary system,Preeclampsia,1,61,1.6393
ACCEPTABILITY OF INTERVENTION,Situation with explicit context,Preventive Care,1,274,0.3650
ACCEPTABILITY OF INTERVENTION,Disorder of immune function,Rheumatoid Arthritis,1,734,0.1362
ACCEPTABILITY OF INTERVENTION,Mental illness,Smoking Cessation,1,741,0.1350
ACCEPTABILITY OF INTERVENTION,Mental illness,Social Anxiety Disorder,1,280,0.3571
