disease_domain,outcome_category,observed_endpoint_domain_records,expected_under_independence,within_domain_pct,standardized_residual,residual_flag
Congenital disease,Mental Health Outcomes,38,110.461146,1.734368,-6.894463,underrepresented
Respiratory disease,Quality of Life/PRO,2589,2964.461688,8.784013,-6.895928,underrepresented
Disorder of skin,Dose-Finding,11,67.857054,0.059923,-6.902189,underrepresented
Procedure,Disease Control,120,223.180205,1.081666,-6.906668,underrepresented
Disorder of labour / delivery,Immunogenicity,14,73.233289,0.545384,-6.921681,underrepresented
Neurological disorder,Mortality,401,566.986640,0.957086,-6.970866,underrepresented
Cardiovascular disease,Dose-Finding,51,131.525948,0.143335,-7.021504,underrepresented
Sleep disorder,Microbiological/Virological,4,57.481184,0.066390,-7.054044,underrepresented
Clinical finding,Remission/Cure,10,69.856088,0.085441,-7.161536,underrepresented
Neurological disorder,Other Clinical Endpoints,273,422.330443,0.651582,-7.266448,underrepresented
Injury,Disease Activity Scores,14,79.075841,0.461741,-7.318092,underrepresented
Congenital disease,Quality of Life/PRO,111,220.368310,5.066180,-7.367445,underrepresented
Sleep disorder,Imaging Outcomes,88,190.681328,1.460581,-7.435966,underrepresented
Congenital disease,Response Rates,47,132.881864,2.145139,-7.450212,underrepresented
Congenital disease,Symptoms/Pain,58,153.102254,2.647193,-7.685994,underrepresented
Disorder of endocrine system,Imaging Outcomes,1115,1407.655454,2.506857,-7.800249,underrepresented
Disorder of body system,Pharmacokinetics,22,100.580468,1.649175,-7.835339,underrepresented
Procedure,Survival/Time-to-Event,396,590.959376,3.569497,-8.019833,underrepresented
Procedure,Pharmacokinetics,603,836.461552,5.435370,-8.072209,underrepresented
Mental illness,Vital Signs/Physical Measures,1893,2279.150473,4.467362,-8.088539,underrepresented
Disorder of the genitourinary system,Microbiological/Virological,85,199.280823,0.406932,-8.095443,underrepresented
Disorder of haemostatic system,Disease Activity Scores,98,217.458563,1.175342,-8.100821,underrepresented
Situation with explicit context,Adverse Events/Safety,3540,4057.460963,12.488535,-8.123635,underrepresented
Blood disease,Microbiological/Virological,26,113.645786,0.218267,-8.221563,underrepresented
Disorder of endocrine system,Quality of Life/PRO,3923,4473.547091,8.820091,-8.231301,underrepresented
Blood disease,Treatment Adherence,179,332.156215,1.502686,-8.403563,underrepresented
Disorder of digestive system,Treatment Adherence,435,656.644285,1.847212,-8.649509,underrepresented
Disorder of digestive system,Vital Signs/Physical Measures,958,1266.619023,4.068113,-8.671609,underrepresented
Injury,Immunogenicity,4,86.499155,0.131926,-8.870407,underrepresented
